nohup: ignoring input
wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /home/sagemaker-user/Molecular-Architect-RL/src/wandb/offline-run-20260624_165347-jsy947zl
wandb: View this run in the terminal with `wandb leet`
[0515] R=0.593 (std=2.059)  valid=1.000  uniq=0.750  div=0.610  kl=0.0280  clip=0.056  ev=0.014  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0520] R=0.511 (std=1.921)  valid=1.000  uniq=0.875  div=0.458  kl=0.0166  clip=0.024  ev=-0.021  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0525] R=0.563 (std=2.084)  valid=1.000  uniq=0.625  div=0.586  kl=0.0063  clip=0.008  ev=0.004  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0530] R=0.047 (std=0.617)  valid=1.000  uniq=1.000  div=0.912  kl=0.0721  clip=0.074  ev=0.045  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0535] R=0.231 (std=1.260)  valid=1.000  uniq=1.000  div=0.791  kl=0.0170  clip=0.087  ev=0.009  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0540] R=0.443 (std=1.812)  valid=1.000  uniq=1.000  div=0.607  kl=0.0139  clip=0.067  ev=0.007  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0545] R=0.544 (std=2.087)  valid=1.000  uniq=0.750  div=0.464  kl=0.0271  clip=0.035  ev=-0.031  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0550] R=0.536 (std=2.068)  valid=1.000  uniq=0.750  div=0.507  kl=0.0038  clip=0.005  ev=-0.040  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0555] R=0.519 (std=2.022)  valid=1.000  uniq=0.625  div=0.136  kl=0.0106  clip=0.014  ev=0.022  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0560] R=0.544 (std=2.086)  valid=1.000  uniq=0.875  div=0.858  kl=0.0022  clip=0.001  ev=-0.002  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0565] R=0.544 (std=2.086)  valid=1.000  uniq=0.625  div=0.170  kl=0.0005  clip=0.000  ev=0.001  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0570] R=0.530 (std=2.059)  valid=1.000  uniq=0.750  div=0.565  kl=0.0189  clip=0.018  ev=0.086  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0575] R=0.581 (std=2.159)  valid=1.000  uniq=0.625  div=0.592  kl=0.0001  clip=0.000  ev=0.051  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0580] R=0.562 (std=2.124)  valid=1.000  uniq=0.625  div=0.315  kl=0.0001  clip=0.000  ev=-0.013  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
